#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
43740,-22511.479423350407,5233.271433828557,-17278.20798952185,277.8883593963009,82.4
43920,-22940.172558395716,5810.347079003786,-17129.82547939193,308.5312576890785,82.4
44100,-22697.35932365984,5527.834390093928,-17169.52493356591,293.5297450363392,82.4
44280,-22875.369781454807,5628.902045356326,-17246.46773609848,298.89646932420055,82.4
44460,-22970.56755350092,5608.706626044414,-17361.860927456506,297.8240862057499,82.4
44640,-22934.67929068359,5479.745804263572,-17454.93348642002,290.9762260012469,82.4
44820,-22797.29352835074,5377.838686331206,-17419.454842019535,285.56492598153574,82.4
45000,-22870.246272897144,5436.339761916618,-17433.906510980527,288.67135149813765,82.4
45180,-22999.533362484537,5456.735739721729,-17542.79762276281,289.75438433566796,82.5
45360,-22920.65230256664,5416.35704712905,-17504.295255437588,287.6102630568414,82.4
45540,-22970.20284133198,5438.401283885218,-17531.80155744676,288.780818963175,82.4
45720,-23105.37722007811,5582.263039498503,-17523.114180579607,296.4199234416524,82.4
45900,-23161.065238298324,5675.1710088003165,-17485.894229498008,301.3533658381678,82.4
46080,-23046.134902759848,5481.6087600375395,-17564.52614272231,291.0751495388852,82.4
46260,-22955.645276031806,5351.1124151639,-17604.532860867905,284.1457525751164,82.4
46440,-23170.981206363766,5551.281134050136,-17619.70007231363,294.7747745161896,82.4
46620,-23247.684688457768,5615.647391631823,-17632.037296825947,298.19264304183747,82.5
46800,-23127.999586225254,5506.931288930322,-17621.068297294933,292.4197837889441,82.4
46980,-22922.12148125487,5417.500583701784,-17504.620897553086,287.67098520858235,82.4
47160,-23149.781438424325,5633.818706170628,-17515.962732253698,299.15754556010194,82.5
47340,-22973.800527412517,5490.030448531725,-17483.770078880792,291.52234384718497,82.5
47520,-22920.576321706612,5337.1434256196035,-17583.432896087008,283.40399483600964,82.4
47700,-23020.346205571404,5399.559193914743,-17620.787011656663,286.71829176696536,82.4
47880,-23000.788539599977,5427.870436363535,-17572.918103236443,288.221627647025,82.5
48060,-22979.46668245287,5441.548025447617,-17537.91865700525,288.94791193002686,82.5
48240,-22878.081145258635,5415.4403693104905,-17462.640775948144,287.5615871763113,82.4
48420,-22794.00830485116,5359.865693282209,-17434.14261156895,284.61055439676716,82.5
48600,-22856.129175546084,5436.061906168025,-17420.067269378058,288.65659727048075,82.5
48780,-22933.409733532608,5468.93880318824,-17464.470930344367,290.40237084452684,82.5
48960,-22851.4747723623,5507.661296210832,-17343.813476151467,292.4585474051817,82.5
49140,-22893.578715463285,5695.0326790676,-17198.546036395684,302.4080267773593,82.5
49320,-22762.56620664103,5491.911867639693,-17270.654339001336,291.6222477936668,82.5
49500,-22728.8197088921,5491.860203143529,-17236.95950574857,291.6195043926681,82.5
49680,-22739.884586894084,5542.169986071137,-17197.714600822947,294.29096969235906,82.5
49860,-22882.404535191716,5687.28606892432,-17195.118466267395,301.9966793418559,82.5
50040,-22829.266135923666,5585.002241461137,-17244.26389446253,296.5653759275546,82.5
50220,-22841.844145825293,5492.936646061486,-17348.90749976381,291.6766638502343,82.5
50400,-22900.761292366864,5595.725094450585,-17305.036197916277,297.13476279444325,82.5
50580,-23001.70230948436,5620.110285154075,-17381.592024330286,298.42962409178693,82.5
50760,-22889.416621402022,5530.165550711528,-17359.251070690494,293.6535303984602,82.5
50940,-22897.24257997921,5559.247725457379,-17337.994854521832,295.19780302601026,82.5
51120,-23030.592280225363,5703.3609131504545,-17327.231367074906,302.85025862701895,82.5
